,datetime,favorite_count,follower_count,retweet_count,screen_name,sentiment_by_sentence,text,tweet_id,unix_timestamp,username
0,29-Jun-2019 23:07:14.000000,304,3192272,117,CNBC,"['Neutral', 'Neutral']",A trainee day trader in France made $11.6 million in one day on what he thought was just a “demo.” https://t.co/kU2MwWHUf5,1145106478694588416,1561874834.0,CNBC
1,29-Jun-2019 21:55:38.000000,206,3192272,86,CNBC,['Negative'],Krispy Kreme opening huge store in Times Square—and it will have a 'doughnut-glaze waterfall' (via @CNBCMakeIt) https://t.co/MV1NdJQGiC,1145088459083845633,1561870538.0,CNBC
2,29-Jun-2019 21:44:47.000000,34,3192272,18,CNBC,['Negative'],Trump says 'there will be no reduction in the tariffs' imposed against China https://t.co/OUP5Tr7Vwn,1145085729577545728,1561869887.0,CNBC
3,29-Jun-2019 19:59:40.000000,23,3192272,13,CNBC,['Negative'],"'It's a temporary time out': Trump and Xi agree to talks, but offer no clear path to end trade war https://t.co/LFjfiypUtD",1145059277188546560,1561863580.0,CNBC
4,29-Jun-2019 19:04:33.000000,23,3192272,11,CNBC,"['Neutral', 'Neutral']",The Trump economy is starting to look more and more like the Obama economy. https://t.co/xn91LcfYpH https://t.co/KleE0eEto3,1145045407648686084,1561860273.0,CNBC
5,29-Jun-2019 15:55:53.000000,18,3192272,9,CNBC,['Negative'],"US business groups praise Trump's trade war truce, but want an 'enforceable agreement' with China https://t.co/6HxLRfqpNF",1144997926449455105,1561848953.0,CNBC
6,29-Jun-2019 15:02:32.000000,12,3192272,4,CNBC,['Negative'],This buyback-focused ETF is beating the market—here's how $TTAC (via @ETFEdgeCNBC) https://t.co/zqKNhverHz,1144984499522084865,1561845752.0,CNBC
7,29-Jun-2019 14:41:00.000000,40,3192272,14,CNBC,"['Negative', 'Positive', 'Neutral']","In this #CNBCClassic clip from 1995, the Dow breaks 5,000 for the first time as traders react on the floor of the @NYSE. The Dow is now above 26,000. https://t.co/T6LopCzdc1",1144979081370460160,1561844460.0,CNBC
8,29-Jun-2019 13:30:27.000000,50,3192272,36,CNBC,['Neutral'],How to use this $70 gadget to detect spy cameras in your Airbnb or hotel room https://t.co/zg1y6CyBEg,1144961327636582400,1561840227.0,CNBC
9,29-Jun-2019 12:31:37.000000,52,3192272,32,CNBC,['Negative'],80% of the stock market is now on autopilot https://t.co/p32EFGQj6F,1144946521919692801,1561836697.0,CNBC
10,29-Jun-2019 11:03:16.000000,22,3192272,13,CNBC,"['Negative', 'Neutral']","Trump, when asked last week if he still wants to demote Federal Reserve Chairman Jerome Powell, said, “Let’s see what he does.” https://t.co/dGG9rLfUqK",1144924287842865152,1561831396.0,CNBC
11,29-Jun-2019 07:59:46.000000,57,3192272,30,CNBC,"['Negative', 'Neutral']","U.S.-China trade war may become a currency war within two years, strategist says. https://t.co/jtV1i3fPK8",1144878107469537280,1561820386.0,CNBC
12,29-Jun-2019 07:02:00.000000,15,3192272,5,CNBC,"['Negative', 'Neutral', 'Negative', 'Neutral']","Whether you owe too much to the IRS or are getting a huge check, 1 thing could explain your tax refund: Tax withholding. Here's what you need to know. https://t.co/XSWOF3ctxB #investinyou (In partnership with @acorns.) https://t.co/mnP9JcXrpH",1144863570557059072,1561816920.0,CNBC
13,29-Jun-2019 06:49:00.000000,29,3192272,16,CNBC,"['Negative', 'Neutral']","This chip stock is set to surge in the next month, technician says. (via @TradingNation) https://t.co/gNB15QR1b3",1144860299331350528,1561816140.0,CNBC
14,29-Jun-2019 06:05:00.000000,9,3192272,10,CNBC,"['Negative', 'Neutral', 'Negative', 'Neutral']","Whether you owe too much to the IRS or are getting a huge check, 1 thing could explain your tax refund: Tax withholding. Here's what you need to know. https://t.co/XSWOF3ctxB #investinyou (In partnership with 
@acorns.) https://t.co/UJ4x7hbNwo",1144849225836040193,1561813500.0,CNBC
15,29-Jun-2019 05:16:45.000000,35,3192272,23,CNBC,"['Negative', 'Neutral']",Trump and Xi agree to continue tariff talks. Here's a timeline of how the trade war started https://t.co/7CMA1XQlqm,1144837085553143808,1561810605.0,CNBC
16,29-Jun-2019 04:40:00.000000,80,3192272,40,CNBC,['Negative'],Trump and Xi agree to further trade talks at high-stakes meeting in Japan https://t.co/QQuHuNYVob,1144827837465223168,1561808400.0,CNBC
17,29-Jun-2019 02:16:00.000000,15,3192272,8,CNBC,"['Negative', 'Neutral']","Forget the advice to cut back spending—this is the way to get rich, according to self-made millionaire @Ramit Sethi. https://t.co/x6p0WVG2Lf (via @CNBCMakeIt) https://t.co/UUnWFugMRv",1144791595583016960,1561799760.0,CNBC
18,29-Jun-2019 01:21:04.000000,12,3192272,2,CNBC,"['Negative', 'Neutral', 'Neutral']",Here is why you should check your market portfolio every day. #investinyou (In partnership with @acorns.) https://t.co/VVjNtE4JAd,1144777773548019714,1561796464.0,CNBC
19,29-Jun-2019 00:54:26.000000,0,3192272,8,CNBC,"['Positive', 'Neutral']",RT @OptionsAction: Last month @Michael_Khouw and Carter Worth said oil was about to surge. Here’s how they are managing their trade ahead o…,1144771068319731712,1561794866.0,CNBC
20,29-Jun-2019 00:54:18.000000,0,3192272,9,CNBC,['Positive'],RT @OptionsAction: Biotech stocks a bright spot in the health care space this year – the Chart Master and @Michael_Khouw think the rally ca…,1144771034220044288,1561794858.0,CNBC
21,29-Jun-2019 00:54:08.000000,0,3192272,15,CNBC,"['Negative', 'Neutral']",RT @OptionsAction: Tech caught fire in the first half with @RiskReversal’s MAGA trade adding $600B in market cap. Here’s why he says one na…,1144770995129069573,1561794848.0,CNBC
22,29-Jun-2019 00:53:54.000000,0,3192272,33,CNBC,"['Negative', 'Neutral', 'Neutral']","RT @CNBCFastMoney: Stocks are at record highs, but Chart Master Carter Worth says the rally has stalled. He explains where we head next. ht…",1144770935188348928,1561794834.0,CNBC
23,28-Jun-2019 21:52:42.000000,22,3192272,8,CNBC,['Neutral'],"If Trump can't make a deal with Xi, rising tariff impact could help Democrats https://t.co/GCptIiy3E6",1144725333213687809,1561783962.0,CNBC
24,28-Jun-2019 21:49:00.000000,10,3192272,5,CNBC,"['Negative', 'Negative', 'Neutral']",The question of how much the ultra-wealthy should be taxed has been a major political talking point this year. These 2 experts discuss another question: What is the goal of changing the tax rate on the ultra-wealthy? https://t.co/oHH5KILl4N https://t.co/PTTfJWvaaS,1144724402774220802,1561783740.0,CNBC
25,28-Jun-2019 20:50:38.000000,14,3192272,3,CNBC,['Negative'],Corona brewer CEO says 'We'd always be ready' if Trump levies tariffs on Mexican beer https://t.co/VyPEVpudhD,1144709717077504001,1561780238.0,CNBC
26,28-Jun-2019 20:27:00.000000,15,3192272,8,CNBC,"['Neutral', 'Positive', 'Neutral', 'Neutral']",The gig economy is exploding. But it's still unprofitable for many people in the hustling game. Here's why. https://t.co/JXhkzJY9S5 https://t.co/3I6MRHh1tM,1144703767134244864,1561778820.0,CNBC
27,28-Jun-2019 20:09:50.000000,28,3192272,15,CNBC,"['Negative', 'Positive', 'Neutral']",Stocks closed higher on Friday as investors looked ahead to the Trump-Xi meeting at the G-20 summit. The S&amp;P 500 closed 0.58% higher to finish its best first half of the year in 2 decades. https://t.co/GJcxKaMG3k https://t.co/CA4XpyWjp4,1144699448188125186,1561777790.0,CNBC
